Name,SOURCE_ID,FileName
EC12489-2750,3495397496775173248,EC12489m2750_a_2000_07_13T01_26_13_all.dat.gz
EC12489-2750,3495397496775173248,EC12489m2750_b_2000_07_15T23_51_15_all.dat.gz
HE0031-5525,4921390960477978112,HE0031m5525_a_2002_07_27T06_08_16_all.dat.gz
HE0031-5525,4921390960477978112,HE0031m5525_b_2001_12_17T00_51_42_all.dat.gz
HE0032-2744,2343355051714253056,HE0032m2744_a_2002_09_15T03_00_04_all.dat.gz
HE0032-2744,2343355051714253056,HE0032m2744_b_2002_09_18T03_06_51_all.dat.gz
HE0043-0318,2529237113117694336,HE0043m0318_a_2002_12_02T01_31_03_all.dat.gz
HE0043-0318,2529237113117694336,HE0043m0318_b_2003_01_16T01_44_20_all.dat.gz
HE0049-0940,2473843786029439104,HE0049m0940_a_2002_09_26T08_39_31_all.dat.gz
HE0049-0940,2473843786029439104,HE0049m0940_b_2002_09_27T06_27_23_all.dat.gz
HE0103-3253,5027351170924256512,HE0103m3253_a_2002_09_15T03_36_35_all.dat.gz
HE0103-3253,5027351170924256512,HE0103m3253_b_2002_09_25T07_00_07_all.dat.gz
HE0106-3253,5026963661794939520,HE0106m3253_a_2000_12_07T02_53_55_all.dat.gz
HE0106-3253,5026963661794939520,HE0106m3253_b_2001_08_25T08_44_57_all.dat.gz
HE0130-2721,5035978214034036480,HE0130m2721_a_2002_09_15T04_41_09_all.dat.gz
HE0130-2721,5035978214034036480,HE0130m2721_b_2002_09_27T07_32_41_all.dat.gz
HE0145-0610,2467788122659245696,HE0145m0610_a_2003_01_19T01_13_47_all.dat.gz
HE0145-0610,2467788122659245696,HE0145m0610_a_2003_01_19T01_33_36_all.dat.gz
HE0145-0610,2467788122659245696,HE0145m0610_b_2003_09_21T04_12_02_all.dat.gz
HE0150+0045,2510891108771852416,HE0150p0045_a_2003_02_05T00_59_38_all.dat.gz
HE0152-5009,4940662032058418944,HE0152m5009_a_2002_09_15T09_00_08_all.dat.gz
HE0152-5009,4940662032058418944,HE0152m5009_b_2002_09_27T08_18_41_all.dat.gz
HE0201-0513,2491046298280035584,HE0201m0513_a_2002_09_20T04_28_06_all.dat.gz
HE0204-3821,4964509614631078272,HE0204m3821_a_2000_12_06T01_49_23_all.dat.gz
HE0204-3821,4964509614631078272,HE0204m3821_a_2001_09_13T09_12_30_all.dat.gz
HE0204-3821,4964509614631078272,HE0204m3821_a_2002_07_10T09_07_11_all.dat.gz
HE0204-3821,4964509614631078272,HE0204m3821_b_2002_09_10T08_42_02_all.dat.gz
HE0204-4213,4957085334163504512,HE0204m4213_a_2002_09_15T09_13_55_all.dat.gz
