filename,radial_velocity,e_radial_velocity,redchi,teff,logg
HE0416m3852_b_2000_12_17T05_27_10_all.dat.gz,47.78187765167041,6.008897121999478,3.077729567880938,15609.075155159027,8.999999973985668
HS0200p2449_b_2003_01_17T01_05_57_all.dat.gz,70.7177626009387,6.144530656411526,3.1738537095446944,22754.950179604453,7.807211324595794
WD0352p096_b_2002_09_21T05_23_29_all.dat.gz,54.42333555389224,3.4025593488776344,2.2572648909931505,14547.402719303638,8.11957066332344
WD0048p202_a_2002_09_19T04_52_51_all.dat.gz,-31.34461025747149,5.883369877351504,2.941222843731432,12097.902764919669,8.999999931152466
WD0018m339_b_2002_09_18T02_33_16_all.dat.gz,31.39945149693858,3.668588465840488,2.070764860734378,19883.863635524154,7.611035877269053
HE1258p0123_a_2000_06_08T00_27_45_all.dat.gz,90.33553025727248,4.27174014829793,5.12583742225595,11812.796445332931,8.999999999975671
WD2007m303_b_2003_05_06T09_46_24_all.dat.gz,40.42264201427155,1.390954171797084,2.195235133420724,14437.48823734341,8.546393069465406
WD1401m147_a_2000_07_14T00_55_22_all.dat.gz,304.23302040509503,2.150409847725001,8.913334249632957,10557.901201189412,8.499957826361614
HE0349m2537_a_2000_12_11T03_34_19_all.dat.gz,18.17642817421633,6.52204150732391,2.392431674656815,20274.11372800936,7.756980600325775
HE0416m1034_b_2001_01_15T03_03_34_all.dat.gz,69.1233132883742,3.498754858453566,3.8977323723136026,25666.78677859875,7.835374653573222
HE0358m5127_a_2000_07_15T09_48_14_all.dat.gz,14.851622801920811,4.314116410493791,3.201460866155136,25095.02016931637,8.048941609199225
WD0410p117_b_2003_01_18T04_10_14_all.dat.gz,16.35288542859444,2.205473425830492,6.786884971812391,9751.94697363168,8.99999942815379
WD2157p161_a_2002_09_23T02_44_22_all.dat.gz,0.1488005943564621,6.517680759539285,2.200169651447829,18692.144976040283,7.937283957003889
WD0320m539_b_2000_08_05T09_15_57_all.dat.gz,41.77394727956477,5.777524882196062,1.937012781412495,32505.1607819927,7.704976542481503
HS1102p0032_b_2003_01_18T05_31_33_all.dat.gz,315.2578123179869,,262.1617633118652,9874.973059901626,7.000000376721225
WD1308m301_b_2000_06_08T01_10_36_all.dat.gz,70.57509427892572,2.721243913644784,2.3668441696435614,14483.760694507802,8.342559292476963
WD1125m025_a_2003_01_18T06_05_28_all.dat.gz,-106.51802450114218,2.9933720667196155,8.636598803175305,8777.35924066835,8.999999999984524
WD1425m811_b_2003_03_22T08_53_48_all.dat.gz,-11.041336434367604,1.7266624894823366,5.642305522170262,13201.180767502889,8.184865411513375
HE1325m0854_b_2000_05_22T00_57_57_all.dat.gz,-49.460340047821504,2.246481405720541,8.174510874949817,11561.84655934976,8.999999996000234
HS1243p0132_a_2002_04_29T05_17_17_all.dat.gz,-1303.8666691358242,5.291533287924494,4.735677489606783,20000.944833098467,8.497303554762864
WD0058m044_b_2000_07_16T07_17_41_all.dat.gz,-3.7176291701562287,3.5755870166098265,2.3412092066888657,13364.170271941815,8.999999999995804
WD0127m050_b_2002_09_27T07_09_45_all.dat.gz,14.121039778922164,3.3617092381123044,2.018717004724105,15019.470304577884,8.99999996586716
HE0245m0008_a_2003_01_16T02_40_10_all.dat.gz,85.53957625897546,9.654715605902751,2.578441409379393,15080.573882371697,8.999999999926878
WD1330p036_b_2000_05_23T01_16_32_all.dat.gz,-101.1789573201193,2.9673036946821583,8.739999875186594,10987.975062789592,8.99999998887317
WD0252m350_b_2000_07_16T10_29_07_all.dat.gz,-168.0604976697812,3.4539539445238745,12.846119053280953,11499.794460034274,8.999999993422678
WD0102m142_a_2000_08_05T09_50_38_all.dat.gz,-16.140157250542345,4.641531139378539,6.991093889765811,20939.974616197924,8.07518209609007
