,filename,radial_velocity,e_radial_velocity,redchi,teff,logg,Unnamed: 0,cntr_01,dist_x,pang_x,name,ra,dec,solution_id,designation,source_id,random_index,ref_epoch,ra.1,ra_error,dec.1,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,bp_rp,bp_g,g_rp,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_visibility_periods_used,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,rv_time_duration,rv_amplitude_robust,rv_template_teff,rv_template_logg,rv_template_fe_h,rv_atm_param_origin,vbroad,vbroad_error,vbroad_nb_transits,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,rvs_spec_sig_to_noise,phot_variable_flag,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,libname_gspphot,GaiaDR3,PDA,GaiaEDR3,TeffH,e_TeffH,loggH,e_loggH,TeffHe,e_TeffHe,loggHe,e_loggHe
0,HE0031m5525_a_2002_07_27T06_08_16_all.dat.gz,46.667754196177526,1.8739666333762808,8.998433894653655,10685.055407483183,8.518116321965813,12,5,0.754247,158.31115,HE0031-5525,8.4004166667,-55.144138889,1636148068921376768,Gaia DR3 4921390960477978112,4921390960477978112,1371908808,2016.0,8.4005521477,0.0239,-55.14433356942,0.0257,14.7234,0.0339,434.8719,43.838,15.979,0.03,-40.822,0.036,-0.2268,0.1094,-0.0943,-0.0528,-0.057,-0.0278,0.1316,-0.0317,-0.231,-0.2206,409,0,408,1,0.0509,450.2767,0.084,0.9209,31,0,1.747,,,,,,,,47,28,0.051888,53,18,0,0.022,29.244,2,0,1.001,0.177,0.225,0.242,0.176,-43.072,54.885,50.085,19.661,0,446,9231.12984,6.26224,1474.09302,15.77423,52,6618.52313,14.46147,457.66611,15.786639,48,3833.16267,11.50735,333.1055,15.789002,1.132,0.0,1.0,0.0,0.0,0,-0.002363,0.012409,-0.014772,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,308.32657263117,-61.79670655901,336.16203654142,-51.82183485044,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,4921390960477978112,1.0,4921390960477978112,11781.27,156.85,7.912382,0.022214,11742.79,155.41,7.834138,0.02755
1,HE0032m2744_a_2002_09_15T03_00_04_all.dat.gz,41.427056506767485,3.2605327884090727,2.9552815321477865,14265.046463243758,8.686630588997186,14,7,0.777515,141.744713,HE0032-2744,8.6576666667,-27.47225,1636148068921376768,Gaia DR3 2343355051714253056,2343355051714253056,1153914573,2016.0,8.65781738844,0.0454,-27.47241959747,0.0335,6.0877,0.067,90.9277,45.192,26.516,0.058,-36.596,0.069,-0.0688,0.1597,0.1731,-0.1624,0.0087,-0.031,0.2474,-0.0498,-0.2719,0.3488,352,0,349,3,0.557,459.8663,0.203,2.7863,31,0,1.842,,,,,,,,41,15,0.104894,51,9,0,0.026,158.501,0,0,1.02,0.474,0.319,0.303,0.694,-7.099,2.458,13.435,13.449,0,401,5214.75724,3.72405,1400.29309,16.394281,47,4194.7924,12.63355,332.03592,16.281767,46,1785.73842,10.04535,177.7677,16.618351,1.147,0.0,3.0,0.0,2.0,0,-0.336584,-0.112514,-0.22407,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,26.70371737398,-86.25069757181,356.02395314174,-28.44928202011,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,2343355051714253056,1.0,2343355051714253056,23414.51,815.16,7.875835,0.058884,27537.82,1108.72,7.993248,0.051853
2,HE0032m2744_b_2002_09_18T03_06_51_all.dat.gz,49.753597258646096,3.7635357261670457,3.30677359043868,13077.032635841046,8.756659817047082,15,8,0.777515,141.744713,HE0032-2744,8.6576666667,-27.47225,1636148068921376768,Gaia DR3 2343355051714253056,2343355051714253056,1153914573,2016.0,8.65781738844,0.0454,-27.47241959747,0.0335,6.0877,0.067,90.9277,45.192,26.516,0.058,-36.596,0.069,-0.0688,0.1597,0.1731,-0.1624,0.0087,-0.031,0.2474,-0.0498,-0.2719,0.3488,352,0,349,3,0.557,459.8663,0.203,2.7863,31,0,1.842,,,,,,,,41,15,0.104894,51,9,0,0.026,158.501,0,0,1.02,0.474,0.319,0.303,0.694,-7.099,2.458,13.435,13.449,0,401,5214.75724,3.72405,1400.29309,16.394281,47,4194.7924,12.63355,332.03592,16.281767,46,1785.73842,10.04535,177.7677,16.618351,1.147,0.0,3.0,0.0,2.0,0,-0.336584,-0.112514,-0.22407,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,26.70371737398,-86.25069757181,356.02395314174,-28.44928202011,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,2343355051714253056,1.0,2343355051714253056,23414.51,815.16,7.875835,0.058884,27537.82,1108.72,7.993248,0.051853
3,HE0043m0318_a_2002_12_02T01_31_03_all.dat.gz,85.53198572442687,1.251157531348575,5.312069897475847,9999.925364065924,8.898717603786888,16,9,1.122015,172.253062,HE0043-0318,11.576625,-3.0336388889,1636148068921376768,Gaia DR3 2529237113117694336,2529237113117694336,762735963,2016.0,11.57666707159,0.0305,-3.03394771527,0.0185,15.8012,0.0363,435.3685,72.693,11.807,0.047,-71.728,0.044,0.4282,0.0363,0.1997,-0.2005,0.1053,-0.0518,0.0703,-0.023,-0.079,0.4966,529,0,529,0,-0.1667,603.7906,0.068,0.9273,31,0,1.759,,,,,,,,61,18,0.076848,66,7,0,0.077,43.0,0,0,0.994,0.162,0.63,0.32,0.093,120.832,-25.514,12.885,42.532,0,563,11596.78781,6.87186,1687.57617,15.526523,57,8490.96061,15.1821,559.27435,15.51615,58,4685.42492,9.01575,519.69312,15.571023,1.136,0.0,2.0,0.0,3.0,0,-0.054873,-0.010372,-0.0445,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,119.79653929376,-65.87445483729,9.44869367201,-7.36985661866,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,2529237113117694336,0.99,2529237113117694336,12809.67,209.69,7.942845,0.018744,12673.1,165.77,7.900395,0.025824
4,HE0049m0940_a_2002_09_26T08_39_31_all.dat.gz,24.079716519834143,1.5159872281871234,5.556309222813411,12999.84727249647,7.4033001520573105,18,11,1.720206,79.689464,HE0049-0940,13.064,-9.4052222222,1636148068921376768,Gaia DR3 2473843786029439104,2473843786029439104,1663189427,2016.0,13.06447652463,0.0327,-9.40513669748,0.0213,15.567,0.0409,380.2177,107.803,106.114,0.046,19.006,0.044,0.4067,0.1939,0.0779,-0.0773,0.0541,0.0114,0.197,0.0678,-0.1628,0.3745,371,0,363,8,0.38,440.7385,0.124,2.7734,31,0,1.765,,,,,,,,42,18,0.07246,46,7,0,0.066,175.912,0,0,1.013,0.092,0.562,0.027,0.091,-13.021,-22.43,15.611,18.512,0,399,13043.79137,9.42829,1383.47351,15.398857,40,9605.44903,20.09228,478.06674,15.382248,37,5173.94377,10.82884,477.79294,15.463342,1.133,0.0,2.0,0.0,1.0,0,-0.081094,-0.016609,-0.064485,,,,,,,,,,,,,,,,,,,,,VARIABLE,123.59624903706,-72.27582899244,8.26534373352,-13.80614774016,0,0,0,1,0,0,1,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,2473843786029439104,1.0,2473843786029439104,13348.41,199.87,7.873426,0.021415,13221.33,190.67,7.858512,0.028466
5,HE0049m0940_b_2002_09_27T06_27_23_all.dat.gz,20.29880892522413,1.2567626976169564,4.43991119937788,13296.054286345148,7.499962975744403,21,12,1.720206,79.689464,HE0049-0940,13.064,-9.4052222222,1636148068921376768,Gaia DR3 2473843786029439104,2473843786029439104,1663189427,2016.0,13.06447652463,0.0327,-9.40513669748,0.0213,15.567,0.0409,380.2177,107.803,106.114,0.046,19.006,0.044,0.4067,0.1939,0.0779,-0.0773,0.0541,0.0114,0.197,0.0678,-0.1628,0.3745,371,0,363,8,0.38,440.7385,0.124,2.7734,31,0,1.765,,,,,,,,42,18,0.07246,46,7,0,0.066,175.912,0,0,1.013,0.092,0.562,0.027,0.091,-13.021,-22.43,15.611,18.512,0,399,13043.79137,9.42829,1383.47351,15.398857,40,9605.44903,20.09228,478.06674,15.382248,37,5173.94377,10.82884,477.79294,15.463342,1.133,0.0,2.0,0.0,1.0,0,-0.081094,-0.016609,-0.064485,,,,,,,,,,,,,,,,,,,,,VARIABLE,123.59624903706,-72.27582899244,8.26534373352,-13.80614774016,0,0,0,1,0,0,1,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,2473843786029439104,1.0,2473843786029439104,13348.41,199.87,7.873426,0.021415,13221.33,190.67,7.858512,0.028466
6,HE0103m3253_a_2002_09_15T03_36_35_all.dat.gz,37.19661765590048,2.003732046112919,7.021404662957597,12571.948102807575,7.406365194891978,24,13,1.499576,49.033995,HE0103-3253,16.378125,-32.631805556,1636148068921376768,Gaia DR3 5027351170924256512,5027351170924256512,168440353,2016.0,16.37849848849,0.0404,-32.63153246139,0.0225,11.7063,0.0532,219.8949,95.247,71.47,0.046,62.96,0.034,-0.1706,0.3741,0.2785,-0.4809,0.0363,-0.3576,0.129,0.1828,-0.3029,-0.271,477,0,471,6,-1.4064,474.4594,0.0,0.0,31,0,1.768,,,,,,,,55,19,0.07022,64,16,0,0.019,58.364,0,0,0.954,0.131,0.432,0.273,0.36,-104.739,5.53,46.057,9.872,0,521,6233.49897,3.53659,1762.57422,16.200537,61,4583.16949,11.00913,416.30606,16.185627,60,2471.67195,7.48663,330.1449,16.265419,1.132,0.0,2.0,0.0,2.0,0,-0.079792,-0.01491,-0.064882,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,274.78696493014,-83.7086400348,0.23980738347,-36.10018555813,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,5027351170924256512,1.0,5027351170924256512,13426.58,226.14,8.011929,0.024888,13158.59,208.29,7.980595,0.032983
7,HE0106m3253_a_2000_12_07T02_53_55_all.dat.gz,77.1138475021489,2.4799605260786137,4.314120727085891,16998.729641151156,8.52577678707327,26,15,0.58159,123.83841,HE0106-3253,17.150125,-32.628722222,1636148068921376768,Gaia DR3 5026963661794939520,5026963661794939520,877947823,2016.0,17.1502843334,0.0291,-32.62881218301,0.0182,14.5132,0.0399,363.9048,34.276,26.561,0.03,-21.664,0.026,0.0416,0.3546,0.1997,-0.2978,0.2187,-0.1438,-0.0456,0.1845,-0.236,-0.0544,449,0,447,2,0.362,602.7943,0.141,4.0216,31,0,1.796,,,,,,,,51,21,0.044366,56,15,0,0.019,40.705,0,0,1.011,0.154,0.374,0.168,0.313,-55.249,0.07,42.398,7.847,0,472,12788.46573,6.43954,1985.92847,15.420321,48,9710.95775,19.42735,499.86017,15.370387,51,4790.67915,9.55331,501.4678,15.546903,1.134,1.0,0.0,0.0,1.0,0,-0.176516,-0.049933,-0.126582,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,269.90589835664,-83.36106784188,0.95184298214,-36.40476788568,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,5026963661794939520,1.0,5026963661794939520,16053.46,313.15,8.017907,0.027149,15870.58,355.47,8.066119,0.038876
8,HE0106m3253_b_2001_08_25T08_44_57_all.dat.gz,41.80029731355452,2.1389506167973487,4.085132834431418,16999.88375748103,8.619228667651875,28,16,0.58159,123.83841,HE0106-3253,17.150125,-32.628722222,1636148068921376768,Gaia DR3 5026963661794939520,5026963661794939520,877947823,2016.0,17.1502843334,0.0291,-32.62881218301,0.0182,14.5132,0.0399,363.9048,34.276,26.561,0.03,-21.664,0.026,0.0416,0.3546,0.1997,-0.2978,0.2187,-0.1438,-0.0456,0.1845,-0.236,-0.0544,449,0,447,2,0.362,602.7943,0.141,4.0216,31,0,1.796,,,,,,,,51,21,0.044366,56,15,0,0.019,40.705,0,0,1.011,0.154,0.374,0.168,0.313,-55.249,0.07,42.398,7.847,0,472,12788.46573,6.43954,1985.92847,15.420321,48,9710.95775,19.42735,499.86017,15.370387,51,4790.67915,9.55331,501.4678,15.546903,1.134,1.0,0.0,0.0,1.0,0,-0.176516,-0.049933,-0.126582,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,269.90589835664,-83.36106784188,0.95184298214,-36.40476788568,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,5026963661794939520,1.0,5026963661794939520,16053.46,313.15,8.017907,0.027149,15870.58,355.47,8.066119,0.038876
9,HE0130m2721_a_2002_09_15T04_41_09_all.dat.gz,17.0495103224413,2.784187274190905,4.055794145513095,13731.04972994014,8.737780720468079,30,17,1.082314,151.541569,HE0130-2721,23.287875,-27.095666667,1636148068921376768,Gaia DR3 5035978214034036480,5035978214034036480,328478599,2016.0,23.28803592493,0.0534,-27.09593098099,0.039,7.0929,0.066,107.3969,66.696,30.323,0.084,-59.404,0.039,0.0441,-0.0243,-0.0865,0.0397,0.0319,-0.1065,0.5443,0.1198,-0.101,-0.1661,480,0,477,3,3.6499,769.7687,0.339,8.0245,95,0,,1.7087,0.0104,-0.102,0.102,-0.041,-0.006,-0.098,55,18,0.11691,75,75,0,0.085,84.593,0,0,1.121,0.412,0.535,0.341,0.371,-174.41,-0.803,-55.417,7.275,0,636,5093.185,4.11693,1237.13257,16.419893,69,4071.35968,8.12923,500.82941,16.314194,70,1794.41906,7.06474,253.99631,16.613087,1.152,0.0,0.0,0.0,1.0,0,-0.298893,-0.1057,-0.193193,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,215.11451408448,-80.71998062089,9.83364875667,-33.91060110409,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,5035978214034036480,1.0,5035978214034036480,21420.23,605.39,7.996198,0.046425,23274.08,1755.54,8.129767,0.042862
