,Unnamed: 0.1,filename,radial_velocity_reference,e_radial_velocity_reference,redchi_reference,teff,logg,Unnamed: 0,cntr_01,dist_x,pang_x,name,ra,dec,solution_id,designation,source_id,random_index,ref_epoch,ra.1,ra_error,dec.1,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,bp_rp,bp_g,g_rp,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_visibility_periods_used,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,rv_time_duration,rv_amplitude_robust,rv_template_teff,rv_template_logg,rv_template_fe_h,rv_atm_param_origin,vbroad,vbroad_error,vbroad_nb_transits,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,rvs_spec_sig_to_noise,phot_variable_flag,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,libname_gspphot,GaiaDR3,PDA,GaiaEDR3,TeffH,e_TeffH,loggH,e_loggH,TeffHe,e_TeffHe,loggHe,e_loggHe,radial_velocity_observed,e_radial_velocity_observed,redchi_observed,teff_corv,logg_corv,stark_velocity,e_stark_velocity,teff_bin,logg_bin,N,e_N
0,1,WD2149p021_a_2002_09_23T03_45_09_all.dat.gz,34.603772456515706,0.9148249097897398,5.148553115115445,13938.542444814082,7.645429909690219,2358,1250,4.837811,177.279234,WD2149+021,328.10575,2.3887777778,1636148068921376768,Gaia DR3 2693940725141960192,2693940725141960192,992988782,2016.0,328.1058138453,0.0363,2.38743545637,0.0347,44.3255,0.0428,1034.731,300.924,15.323,0.042,-300.533,0.044,0.2504,0.3422,-0.1545,-0.16,-0.0535,-0.1299,-0.3425,-0.2053,-0.1667,0.4142,206,172,206,0,-0.0506,1906.215,0.304,81.5967,31,0,1.804,,,,,,,,24,15,0.072816,25,11,0,0.179,161.643,0,0,0.996,,,,,,,,,0,213,145964.43373,72.62468,2009.84619,12.77675,25,112208.61991,144.85112,774.64795,12.713477,23,53347.53346,63.33475,842.31061,12.93011,1.134,0.0,0.0,0.0,1.0,0,-0.216633,-0.063272,-0.15336,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,60.07271018037,-37.76854141445,331.12680733806,14.3711985503,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,2693940725141960192,1.0,2693940725141960192,17507.27,338.27,7.979824,0.024331,17739.19,462.39,8.089578,0.037619,40.44487235630508,0.9966238959170894,3.436843789210569,14833.433046357815,8.785781692211316,5.841099899789377,1.3528354687414,5,5,9.122010583171144e+16,4942261165134474.0
1,4,WD1105m048_a_2002_04_23T04_32_22_all.dat.gz,58.98110799017133,1.2173509245349727,4.970182657100231,13622.209602382993,7.724228066263425,1237,876,7.170927,-172.931952,WD1105-048,166.99979167,-5.1572222222,1636148068921376768,Gaia DR3 3788194488314248832,3788194488314248832,1452859135,2016.0,166.99954557056,0.028,-5.15919900918,0.0226,40.2925,0.032,1260.0614,446.106,-55.547,0.031,-442.634,0.028,-0.1777,-0.4298,-0.2675,0.3353,-0.1148,0.2084,-0.1791,0.1492,-0.3396,-0.2715,192,0,192,0,2.0075,824.8138,0.182,24.5762,31,0,1.792,,,,,,,,22,15,0.049175,29,9,0,0.081,97.743,0,0,1.104,0.329,0.216,0.402,0.795,-111.578,26.909,-5.498,-25.072,0,241,109324.79115,85.19752,1283.19226,13.09057,28,82681.36403,101.55312,814.16864,13.045023,24,41071.70695,31.37161,1309.19995,13.214039,1.132,0.0,0.0,0.0,0.0,0,-0.169016,-0.045547,-0.123468,,,,,,,,,,,,,,,,,,,,,VARIABLE,261.29751038837,49.16705272896,170.07569377956,-9.88224887033,0,0,0,1,1,0,1,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,3788194488314248832,1.0,3788194488314248832,15701.3,271.43,7.916565,0.022137,15563.6,290.23,7.962896,0.0312,70.26735858380364,1.2094740903799064,2.627224359386086,13968.145042593866,8.291478322858664,11.28625059363231,1.716033463766501,4,3,7.69889025636629e+16,7644788322950718.0
2,7,WD0110m139_b_2000_07_16T07_03_55_all.dat.gz,7.966000674134443,3.599353328673341,3.267787584197553,14365.706056332818,8.212710693516236,732,557,0.315229,171.358938,WD0110-139,18.290875,-13.659722222,1636148068921376768,Gaia DR3 2456122476087944960,2456122476087944960,1232174871,2016.0,18.29088853883,0.0469,-13.65980879155,0.0363,8.2259,0.0689,119.3345,18.567,-0.9,0.071,-18.545,0.084,0.57,0.039,0.0539,0.1976,-0.0092,0.1506,0.4376,0.2335,-0.3456,0.3095,349,0,347,2,3.3052,668.1988,0.258,8.452,31,0,1.847,,,,,,,,40,15,0.126957,49,8,0,0.027,176.638,0,0,1.128,0.256,0.6,0.206,0.265,-37.3,-28.188,-39.907,-44.802,0,418,9446.96649,6.49169,1455.24011,15.749136,47,7625.2682,17.84365,427.33804,15.632904,47,3206.38523,11.15404,287.46414,15.982856,1.147,0.0,3.0,0.0,3.0,0,-0.349952,-0.116232,-0.23372,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,144.64956309029,-75.6074601084,11.38981423131,-19.75369336775,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,2456122476087944960,1.0,2456122476087944960,24359.82,659.09,7.932558,0.04622,28926.02,916.87,8.046207,0.042037,31.594708923939137,2.681482473585911,5.853288935505275,9310.929700242112,7.99533016457756,23.628708249804696,4.488395330268967,8,4,2.4209856018679184e+17,5736989149995176.0
3,12,WD2303p242_b_2002_09_26T04_39_50_all.dat.gz,2.0675005860628777,2.2157477251865627,2.98179293512243,10817.679343129454,7.95685293219475,2451,1321,1.437015,131.444168,WD2303+242,346.57370833,24.535472222,1636148068921376768,Gaia DR3 2842650153836732928,2842650153836732928,1327144064,2016.0,346.57403724808,0.0255,24.53520801453,0.0245,19.6918,0.0358,550.386,88.272,66.505,0.028,-58.044,0.029,0.2149,0.2399,0.207,-0.3208,-0.1868,-0.2824,0.2882,0.0903,-0.394,0.1183,394,0,391,3,1.1087,479.6509,0.079,1.2436,31,0,1.738,,,,,,,,45,19,0.043154,56,9,0,0.027,74.331,0,0,1.039,0.373,0.475,0.356,0.499,-56.539,-41.075,-46.74,35.237,0,471,13623.91144,23.18745,587.5553,15.351612,54,9616.63902,48.27924,199.18785,15.380984,52,5801.12732,23.1408,250.68831,15.339114,1.132,0.0,1.0,0.0,0.0,0,0.04187,0.029372,0.012498,,,,,,,,,,,,,,,,,,,,,VARIABLE,94.41630243593,-32.44997778424,358.1477088295,27.71063287887,0,0,0,1,0,0,1,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,2842650153836732928,1.0,2842650153836732928,11436.34,182.14,8.000965,0.027329,11420.96,191.25,7.921314,0.032388,20.870953746314004,1.9956317743725835,2.6203171675119465,11283.497700444592,8.348872693366136,18.803453160251127,2.9819597852008157,2,6,4.204791443136807e+16,4992489955199830.0
4,13,WD1257p047_b_2000_05_22T01_47_35_all.dat.gz,55.39547569319877,2.597533310797612,2.7205288873768625,14394.791863397344,7.99999981124398,1376,975,2.033924,-144.094788,WD1257+047,194.95979167,4.524,1636148068921376768,Gaia DR3 3705070756419217408,3705070756419217408,1726733978,2016.0,194.95945930503,0.0346,4.52354237361,0.0191,13.1927,0.0399,330.5384,128.528,-75.635,0.055,-103.917,0.049,-0.5481,0.0519,-0.1043,0.1283,0.0716,0.0682,0.0184,-0.1898,0.2427,-0.4807,453,0,453,0,0.1211,874.2406,0.19,11.0123,31,0,1.838,,,,,,,,52,15,0.088119,56,8,0,0.015,117.809,0,0,1.003,0.41,0.709,0.409,0.281,-152.592,20.817,-35.641,16.518,0,477,19669.54621,9.86231,1994.41504,14.952881,52,15641.83038,21.7261,719.95563,14.852823,51,6834.23032,12.62831,541.18335,15.161172,1.143,0.0,2.0,0.0,3.0,0,-0.308349,-0.100058,-0.208291,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,308.36508163994,67.30663779607,192.0006834981,10.06243770424,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,3705070756419217408,1.0,3705070756419217408,22218.22,500.35,7.960641,0.031005,25843.34,947.66,8.097027,0.026783,45.50365801141887,2.024889497326736,2.530539297564372,9829.611068430142,8.499965269716599,-9.891817681779898,3.2935325680927043,7,5,,
5,14,WD1620m391_a_2002_04_22T04_53_28_all.dat.gz,18.109460406891547,0.7264967611969837,2.399573855154049,14965.282146532072,8.499959418935322,1666,1114,1.216541,87.874295,WD1620-391,245.891,-39.2295,1636148068921376768,Gaia DR3 6018034958869558912,6018034958869558912,1758423119,2016.0,245.89143595053,0.0368,-39.22948746474,0.0259,77.4545,0.0433,1789.7521,77.399,77.398,0.049,0.386,0.038,-0.0161,-0.1737,-0.1182,-0.0366,-0.1719,0.0338,-0.0356,-0.2443,0.0591,0.0494,289,289,288,1,-1.2352,3741.6516,0.333,133.0416,31,0,1.841,,,,,,,,33,16,0.068775,35,12,1,0.009,33.332,0,0,0.947,,,,,,,,,0,296,749526.46243,364.14825,2058.30029,11.0004,31,605441.18682,726.17542,833.73956,10.883363,30,254916.05841,130.83319,1948.40515,11.231902,1.148,0.0,0.0,0.0,0.0,0,-0.348539,-0.117037,-0.231503,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,341.53246148174,7.25053753988,250.63567507533,-17.3971049809,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,6018034958869558912,0.98,6018034958869558912,24073.41,487.71,8.005036,0.025859,28621.32,674.92,8.124346,0.021899,18.460215295737488,0.5384808843539464,8.101188431882903,9535.28709521868,8.499958036477379,0.3507548888459411,0.9043003963530677,8,6,,
6,15,HE0210m2012_b_2002_09_10T08_56_41_all.dat.gz,11.613275780156044,2.614970760740891,3.5264341598054503,13999.997659434935,7.943373371559037,55,37,1.146316,35.317638,HE0210-2012,33.257875,-19.976222222,1636148068921376768,Gaia DR3 5125057897336633344,5125057897336633344,1351816912,2016.0,33.25807086617,0.0307,-19.97596240307,0.0322,9.1997,0.047,195.8708,70.366,42.302,0.04,56.232,0.04,0.2179,0.1789,0.055,-0.0213,-0.0827,-0.0251,-0.231,0.1079,0.0954,0.1624,454,0,454,0,1.461,588.5022,0.184,3.0582,31,0,1.798,,,,,,,,52,20,0.059968,52,22,0,0.059,2.403,0,0,1.048,0.083,0.252,0.144,0.552,-166.822,-50.093,-18.927,26.664,0,448,6334.17778,4.53707,1396.09546,16.183142,45,4842.60947,17.27724,280.28839,16.125843,42,2322.79335,8.41746,275.94946,16.332869,1.131,0.0,5.0,0.0,1.0,0,-0.207026,-0.057299,-0.149727,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,196.33555401077,-70.01227358744,23.20972195499,-31.22877509841,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,5125057897336633344,1.0,5125057897336633344,17200.1,466.77,7.949413,0.039749,17528.9,631.0,8.062768,0.0587,29.1849533351302,2.39936001318992,2.471823809404392,12821.243083640064,8.604748617303091,17.571677554974155,3.5489435825925058,5,4,1.3141943767191352e+17,9406740503747072.0
7,16,WD1122m324_b_2000_05_19T00_28_19_all.dat.gz,13.933239616197389,2.7107294626004865,2.6065194773433427,13741.442461733508,7.798212284209584,1249,885,1.584402,-77.729641,WD1122-324,171.14829167,-32.773555556,1636148068921376768,Gaia DR3 5402827451143222912,5402827451143222912,1524611437,2016.0,171.14778019454,0.0265,-32.7734620203,0.0291,8.2084,0.0439,186.9426,96.433,-94.235,0.042,20.472,0.036,-0.3349,0.0439,-0.1469,-0.0206,-0.1565,0.0728,0.1354,0.2052,-0.2092,0.0595,470,0,469,1,0.6125,662.2692,0.179,3.9985,31,0,1.83,,,,,,,,54,20,0.059325,63,16,0,0.024,99.655,0,0,1.019,0.445,0.33,0.415,0.5,-108.137,53.696,-8.301,-24.895,0,513,8176.73987,4.29718,1902.81628,15.905916,58,6447.53548,10.99875,586.20624,15.815058,58,2832.28383,8.97951,315.41617,16.117554,1.135,0.0,0.0,0.0,0.0,0,-0.302496,-0.090858,-0.211637,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,282.56725215627,26.64088584875,186.63292933757,-33.23804938428,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,5402827451143222912,1.0,5402827451143222912,21726.57,561.9,7.881673,0.038569,24922.01,1345.47,8.019692,0.035025,23.61828315234488,2.2199816792813216,2.323803414839823,9840.70686578163,8.275342245384634,9.685043536147491,3.5037655280790463,7,3,1.8476639542392685e+17,9226422414501054.0
8,17,HE2356m4513_b_2002_07_11T08_52_25_all.dat.gz,21.736342869346853,4.130386934170781,3.7988055999360126,13999.907215408177,7.928350487891487,329,267,0.847321,-106.663723,HE2356-4513,359.740875,-44.953722222,1636148068921376768,Gaia DR3 6530974072557448064,6530974072557448064,1671026895,2016.0,359.74055637631,0.0213,-44.953789714,0.0222,13.5411,0.0364,371.6626,50.781,-49.1,0.026,-12.956,0.034,-0.3164,0.1576,0.1793,0.1423,-0.1436,0.0643,-0.2303,-0.1322,-0.182,-0.0257,548,0,545,3,2.8421,875.8996,0.183,7.7011,31,0,1.802,,,,,,,,64,22,0.047654,69,13,0,0.035,6.88,0,0,1.087,0.417,0.277,0.089,0.403,55.357,49.764,40.73,20.299,0,574,13054.48845,7.6688,1702.28528,15.397967,63,10008.41002,16.60244,602.82758,15.337629,60,4821.28303,8.52217,565.73444,15.539989,1.136,0.0,1.0,0.0,0.0,0,-0.202359,-0.060338,-0.142021,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,329.9834660748,-69.3180423908,338.13469365003,-40.31277467269,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,6530974072557448064,1.0,6530974072557448064,16927.28,340.89,7.966159,0.027908,16980.61,442.45,8.05378,0.042795,45.84287528226796,4.089681357594234,3.0321459353705547,13823.15087760063,8.329756687440922,24.10653241292111,5.8125372973102305,5,5,1.3792184585239635e+17,1.822439679072717e+16
9,18,HE1315m1105_b_2000_05_19T03_07_36_all.dat.gz,40.66281306474774,1.6248791249933916,3.332601813165964,7782.656962718814,8.792996253489806,235,184,2.255552,-86.917548,HE1315-1105,199.44683333,-11.351666667,1636148068921376768,Gaia DR3 3623233040812235904,3623233040812235904,1720243939,2016.0,199.44619521104,0.0386,-11.35163297526,0.0293,25.1831,0.0463,544.0914,144.44,-144.137,0.052,9.347,0.035,-0.3951,-0.3995,-0.0416,-0.1387,0.1318,-0.0762,0.1794,0.1871,0.1184,-0.3061,249,0,247,2,1.069,285.6574,0.12,1.7833,31,0,1.695,,,,,,,,28,14,0.074872,30,11,0,0.095,110.254,0,0,1.048,0.169,0.424,0.228,0.448,-132.278,26.018,3.389,-21.796,0,255,11174.243,7.33636,1523.13086,15.566822,28,7426.39172,18.15292,409.10178,15.661597,28,5401.50909,14.20416,380.27667,15.416608,1.148,0.0,0.0,0.0,0.0,0,0.244989,0.094775,0.150214,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,313.22466697667,50.99282355375,202.22571131599,-2.90899805897,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,3623233040812235904,1.0,3623233040812235904,9052.13,91.9,8.040295,0.026571,8855.33,90.19,7.959465,0.026445,41.34778737918265,2.3574253025249234,4.0142742752838085,9107.755389481374,8.361440765075166,0.6849743144349105,2.8631601820058927,1,7,,
