Name,GaiaDR2,SPYTeff,SPYlogg,Rem,FileName,jul_date,obsname,SOURCE_ID,r_med_geo,GaiaEDR3,TeffH,e_TeffH,loggH,e_loggH
EC12489-2750,3495397496775173248,61045,7.63,,EC12489m2750_a_2000_07_13T01_26_13_all.dat.gz,2451738.55988057004,ec12489m2750_a_2451738_55988057004,3495397496775173248,450.91998,3495397496775173248,,,,
EC12489-2750,3495397496775173248,61045,7.63,,EC12489m2750_b_2000_07_15T23_51_15_all.dat.gz,2451741.49392732,ec12489m2750_b_2451741_49392732,3495397496775173248,450.91998,3495397496775173248,,,,
HE0031-5525,4921390960477978112,11839,7.71,,HE0031m5525_a_2002_07_27T06_08_16_all.dat.gz,2452482.75575103005,he0031m5525_a_2452482_75575103005,4921390960477978112,67.7885,4921390960477978112,11781.27,156.85,7.912382,0.022214
HE0031-5525,4921390960477978112,11839,7.71,,HE0031m5525_b_2001_12_17T00_51_42_all.dat.gz,2452260.53590983013,he0031m5525_b_2452260_53590983013,4921390960477978112,67.7885,4921390960477978112,11781.27,156.85,7.912382,0.022214
HE0032-2744,2343355051714253056,23947,7.81,,HE0032m2744_a_2002_09_15T03_00_04_all.dat.gz,2452532.62505119015,he0032m2744_a_2452532_62505119015,2343355051714253056,164.07458,2343355051714253056,23414.51,815.16,7.875835,0.058884
HE0032-2744,2343355051714253056,23947,7.81,,HE0032m2744_b_2002_09_18T03_06_51_all.dat.gz,2452535.62975778989,he0032m2744_b_2452535_62975778989,2343355051714253056,164.07458,2343355051714253056,23414.51,815.16,7.875835,0.058884
HE0043-0318,2529237113117694336,14086,7.73,,HE0043m0318_a_2002_12_02T01_31_03_all.dat.gz,2452610.56323006004,he0043m0318_a_2452610_56323006004,2529237113117694336,63.10503,2529237113117694336,12809.67,209.69,7.942845,0.018744
HE0043-0318,2529237113117694336,14086,7.73,,HE0043m0318_b_2003_01_16T01_44_20_all.dat.gz,2452655.57245669002,he0043m0318_b_2452655_57245669002,2529237113117694336,63.10503,2529237113117694336,12809.67,209.69,7.942845,0.018744
HE0049-0940,2473843786029439104,13823,7.69,,HE0049m0940_a_2002_09_26T08_39_31_all.dat.gz,2452543.86078453995,he0049m0940_a_2452543_86078453995,2473843786029439104,64.10744,2473843786029439104,13348.41,199.87,7.873426,0.021415
HE0049-0940,2473843786029439104,13823,7.69,,HE0049m0940_b_2002_09_27T06_27_23_all.dat.gz,2452544.76902421983,he0049m0940_b_2452544_76902421983,2473843786029439104,64.10744,2473843786029439104,13348.41,199.87,7.873426,0.021415
HE0103-3253,5027351170924256512,13698,7.82,,HE0103m3253_a_2002_09_15T03_36_35_all.dat.gz,2452532.65041243983,he0103m3253_a_2452532_65041243983,5027351170924256512,85.1365,5027351170924256512,13426.58,226.14,8.011929,0.024888
HE0103-3253,5027351170924256512,13698,7.82,,HE0103m3253_b_2002_09_25T07_00_07_all.dat.gz,2452542.79175692005,he0103m3253_b_2452542_79175692005,5027351170924256512,85.1365,5027351170924256512,13426.58,226.14,8.011929,0.024888
HE0106-3253,5026963661794939520,17234,8.0,,HE0106m3253_a_2000_12_07T02_53_55_all.dat.gz,2451885.62078195997,he0106m3253_a_2451885_62078195997,5026963661794939520,68.77416,5026963661794939520,16053.46,313.15,8.017907,0.027149
HE0106-3253,5026963661794939520,17234,8.0,,HE0106m3253_b_2001_08_25T08_44_57_all.dat.gz,2452146.86455501011,he0106m3253_b_2452146_86455501011,5026963661794939520,68.77416,5026963661794939520,16053.46,313.15,8.017907,0.027149
