wavl,flux,ivar
3290.9677209471124,0.0,488992358774039.44
3291.007731116754,0.0,488992358774039.44
3291.047741286418,0.0,488992358774039.44
3291.09775399853,0.9669,523.0437944953304
3291.1377641682466,1.0798,419.3866695232645
3291.177774337985,2.3023,92.25244142583269
3291.217784507746,0.8132,739.4456605865454
3291.2577946775314,1.3173,281.79418677831006
3291.297804847339,1.0368,454.89509907241006
3291.337815017169,0.1262,30702.693720846684
3291.3778251870217,2.674,68.38784866986342
3291.417835356898,0.6258,1248.6179301298796
3291.467848069275,3.4944,40.04576465645
3291.5078582392025,0.2267,9514.702224345356
3291.5478684091536,2.336,89.60990645899552
3291.587878579127,2.294,92.92121223924143
3291.627888749124,1.9078,134.34946102606105
3291.6678989191428,1.4619,228.8053348694212
3291.7079090891853,1.6475,180.15681649702344
3291.747919259251,1.5639,199.93257432850456
3291.7979319718634,3.6451,36.8029761147769
3291.837942141981,2.1371,107.06609859855219
3291.8779523121198,1.1567,365.4768310459055
3291.917962482282,3.3065,44.72648366890972
3291.9579726524676,1.8802,138.322717974289
3291.9979828226765,1.6149,187.5038829291791
3292.037992992907,0.771,822.6066006783491
3292.0880057057284,1.3221,279.75174567892066
3292.1280158760105,3.3561,43.4142225573545
3292.168026046316,1.5214,211.25873645527517
3292.208036216645,1.6413,181.52046879321853
3292.248046386995,1.3657,262.17472302509015
3292.28805655737,0.4641,2270.2676685447086
3292.328066727767,1.2454,315.27073008945257
3292.3680768981867,1.126,385.67769263515527
3292.4080870686303,2.1315,107.62941784115328
3292.458099781715,1.9373,130.2890349876394
3292.4981099522097,1.8571,141.785240755739
3292.538120122727,2.3556,88.12489502330908
3292.578130293266,1.4832,222.28085236048668
3292.6181404638296,1.8781,138.63222220933935
3292.658150634416,-0.193038,13122.632107637652
3292.6981608050237,0.2076,11346.010741603124
3292.738170975656,2.8061,62.10055415328457
3292.788183688977,2.3193,90.90501487195178
3292.82819385966,1.2026,338.1107284553415
3292.8682040303656,1.6721,174.89486536570854
3292.9082142010952,1.2951,291.53774835823555
3292.948224371846,1.4842,221.98142395418265
3292.9882345426204,0.5872,1418.1706713967706
3293.028244713418,1.0033,485.77994621885483
3293.068254884238,2.101,110.77698847175809
3293.1182675977957,1.9072,134.43400623802654
3293.158277768667,2.1111,109.71955808869937
3293.1982879395614,1.0784,420.47628731139844
3293.2382981104793,1.3078,285.90301975471453
3293.2783082814194,1.7014,168.92296869991776
3293.3183184523828,2.1435,106.42770368107578
3293.358328623369,1.7271,163.93308108343282
3293.3983387943767,1.5804,195.77961992841384
3293.4483515081706,1.1343,380.0541181471442
3293.4883616792304,1.4398,235.88326526322044
3293.5283718503133,0.4567,2344.434736918746
3293.5683820214194,0.6756,1071.3256553956348
3293.608392192548,1.3112,284.42222473186433
3293.6484023637,2.0313,118.50959339021097
3293.6884125348743,1.6806,173.13020267614831
3293.728422706072,1.1079,398.3824186406251
3293.7784354201003,2.1642,104.4015354466947
3293.818445591349,1.1411,375.5380101495613
3293.858455762621,0.7763,811.41266375701
3293.898465933915,2.0785,113.18831561247455
3293.9384761052324,0.6058,1332.4229390162566
3293.9784862765728,1.4808,223.00195716554038
3294.018496447936,1.1897,345.48279101142015
3294.058506619321,2.9551,55.99605287420759
3294.108519333585,1.0597,435.4470817379912
3294.148529505022,1.5742,197.324815223129
3294.1885396764815,1.5813,195.5568267787131
