wavl,flux,ivar
3290.9777234895214,0.0,118655174572023.78
3291.017733659168,0.0,118655174572023.78
3291.0577438288383,0.0,118655174572023.78
3291.09775399853,0.00741074,2159963.0928084906
3291.1477667106788,-0.0506547,46244.952193410165
3291.1877768804234,0.5444,400.3583162066967
3291.2277870501907,0.6814,255.5530975824795
3291.267797219981,0.8895,149.96634305704396
3291.3078073897937,0.4115,700.7206121589909
3291.34781755963,0.9623,128.13412525856523
3291.387827729489,1.9314,31.808396677069698
3291.4278378993704,1.7243,39.908051362040624
3291.4778506117555,0.5613,376.6127777618849
3291.5178607816883,-0.0858901,16084.611614394791
3291.557870951645,1.8894,33.23826919738576
3291.597881121625,-1.25111,75.8047441204067
3291.637891291626,0.3826,810.577381635657
3291.677901461651,0.0700912,24151.677430653737
3291.717911631699,0.6637,269.36535584597743
3291.7579218017704,1.6768,42.20108666066661
3291.8079345143906,0.2557,1814.770995970354
3291.8479446845126,1.6029,46.18205805923356
3291.8879548546583,1.4267,58.29358318648756
3291.927965024826,1.2603,74.70301340018379
3291.9679751950175,0.7586,206.18632639072527
3292.0079853652314,0.5698,365.46035221585737
3292.0479955354676,1.5075,52.212136510319596
3292.0880057057284,1.0613,105.34393472191114
3292.1380184185846,0.9031,145.48359903628702
3292.178028588896,0.3047,1278.0237470211446
3292.21803875923,0.5597,378.76907812044135
3292.2580489295874,1.6713,42.47929853219432
3292.2980590999673,0.1028,11227.731129471662
3292.3380692703695,0.1586,4717.097359780495
3292.3780794407953,1.0737,102.92478475434525
3292.4180896112434,1.7404,39.173108397292424
3292.4681023243365,0.0234702,215385.3173170603
3292.508112494837,-0.655289,276.32631958175335
3292.5481226653596,0.5222,435.1222427765918
3292.5881328359055,0.601,328.5006954960238
3292.6281430064737,0.6703,264.0869543624617
3292.6681531770646,1.0973,98.54512226206225
3292.7081633476796,0.8251,174.28999429427722
3292.748173518318,0.0151513,516808.39769901306
3292.788183688977,0.3475,982.5950347703912
3292.8381964023342,0.9779,124.07860500888432
3292.878206573046,0.7881,191.0393912125655
3292.9182167437802,0.744,214.35797420067314
3292.9582269145376,1.0151,115.15112132103452
3292.9982370853177,1.1875,84.1431399761425
3293.038247256121,1.2361,77.6566706226765
3293.0782574269474,1.1223,94.20370479717822
3293.1182675977957,0.5521,389.26881685484267
3293.168280311388,-0.0749198,21140.0036321632
3293.2082904822896,0.2118,2645.030413678331
3293.2483006532125,1.1121,95.93966995183345
3293.2883108241585,0.0955698,12990.81026558583
3293.328320995127,0.5346,415.1711328084345
3293.368331166119,1.0137,115.46940628418194
3293.408341337133,0.2767,1549.7627758272172
3293.4483515081706,0.5404,406.3070842434642
3293.498364222,1.224,79.19962720752248
3293.538374393088,-0.353394,950.1032356088531
3293.5783845641995,1.3573,64.4071889052321
3293.618394735334,-0.814483,178.86431385930916
3293.6584049064913,0.7455,213.49623562780292
3293.6984150776716,0.0822239,17550.115326200124
3293.738425248875,1.2904,71.25860248098941
3293.7784354201003,0.4671,543.8324130860946
3293.828448134165,0.3623,903.9566772817141
3293.8684583054414,0.5577,381.49059549032205
3293.908468476742,1.4387,57.325201726516276
3293.948478648065,0.2931,1381.185728709813
3293.9884888194106,0.1615,4549.212785390251
3294.0284989907786,-0.29729,1342.545466236743
3294.0685091621704,0.5926,337.87956206428083
3294.108519333585,1.174,86.08941346580431
3294.1585320478853,1.1642,87.54487896856818
3294.19854221935,1.0105,116.20188880474987
3294.2385523908392,0.6869,251.47706634699307
3294.2785625623496,0.6505,280.40822322719873
3294.318572733884,0.8246,174.50142119649988
3294.3585829054414,1.4637,55.38369711731305
3294.3985930770214,1.09,99.8695032879444
3294.4386032486236,1.0471,108.22049945015577
3294.488615963159,1.0503,107.56206335287796
3294.528626134813,0.1858,3437.087500677009
3294.56863630649,0.6139,314.8400705135564
3294.608646478189,1.0293,111.9958404573969
3294.648656649912,0.6593,272.97269891442716
3294.6886668216566,0.9038,145.25833023925384
3294.728676993426,1.1049,97.19411045543774
3294.7686871652163,1.0524,107.13322497655062
3294.80869733703,0.632,297.06477097484424
3294.858710051829,-0.0318073,117289.83646326896
3294.898720223694,0.6165,312.1900892299597
3294.9387303955814,1.0243,113.09189706041884
3294.9787405674924,0.7249,225.80278021028283
3295.0187507394257,0.1585,4723.051373185739
3295.058760911382,0.9957,119.68198841761802
3295.098771083361,1.378,62.48670395801177
3295.1387812553635,0.2142,2586.09035527783
3295.1887939703975,0.9573,129.47611433677747
3295.228804142451,0.5229,433.9580388534906
3295.2688143145265,0.6818,255.2533290183954
3295.3088244866253,0.7608,204.99559696576523
3295.348834658747,0.7737,198.21675692837852
3295.3888448308917,0.7978,186.42215754367817
3295.4288550030583,0.6602,272.2289618584509
3295.4688651752476,1.1363,91.89669760131692
3295.518877890518,2.141,25.885284485179636
3295.558888062759,1.875,33.750769210767785
3295.5988982350236,0.709,236.044011731852
3295.6389084073103,1.2118,80.80236448328824
3295.6789185796197,1.1681,86.96127350780043
3295.7189287519523,1.2045,81.78475421229413
3295.7589389243067,0.8392,168.48246086951056
3295.7989490966847,0.8753,154.87161719659375
3295.84896181219,1.2175,80.0475472974401
3295.8889719846184,0.8929,148.8264299155871
3295.928982157071,0.4129,695.9768807004601
3295.968992329546,0.6328,296.3141350098887
3296.009002502043,0.792,189.16257738099435
3296.0490126745635,0.8178,177.41543813388196
3296.089022847106,0.101,11631.489559798176
3296.1290330196725,0.2293,2256.704968987666
3296.179045735412,0.7845,192.79673708983202
3296.2190559080286,0.7337,220.41871216754822
3296.2590660806686,1.0329,111.21651618647782
3296.2990762533314,0.6988,242.9851021405123
3296.3390864260164,0.2087,2724.1914315166646
3296.379096598725,0.4508,583.8710484983346
3296.4191067714564,0.7583,206.34950205229367
3296.4591169442097,0.9762,124.51113333682827
3296.499127116987,0.7758,197.14511145954714
3296.5491398329896,0.6751,260.3449632493953
3296.589150005817,0.9033,145.4191830804697
3296.629160178667,1.0203,113.98036883853017
3296.6691703515403,0.7095,235.71143878383901
3296.709180524437,0.7421,215.45702009965436
3296.7491906973555,0.6052,323.9570299694746
3296.7892008702975,0.7719,199.14228018304172
3296.8292110432617,0.7157,231.6452688629092
3296.8792237594985,0.4438,602.4349088579107
3296.9192339325136,0.7422,215.3989650699887
3296.9592441055524,0.9904,120.96634044029436
3296.9992542786135,1.0106,116.17889335161712
3297.039264451698,0.955,130.10051926197406
3297.079274624804,1.3084,69.31144416666685
3297.119284797933,0.6903,249.00592298162158
3297.1592949710844,0.9801,123.52219997632913
3297.2093076875567,1.2823,72.16169416228098
3297.24931786076,1.0038,117.75827484210475
3297.2893280339867,1.0134,115.5377818813959
3297.3293382072347,0.7058,238.18924286862654
3297.369348380507,0.4929,488.39058602986387
3297.4093585538008,0.7115,234.3881509671708
3297.4493687271174,1.3776,62.522996484380464
3297.4893789004573,0.3953,759.3305212067394
3297.5393916171643,0.5466,397.1420185240255
3297.579401790554,0.4183,678.1236282138443
3297.6194119639686,0.7521,209.7656394870838
3297.6594221374044,0.8631,159.28080540612868
3297.699432310863,0.0896244,14771.495575706467
3297.7394424843446,0.2482,1926.1035369617234
3297.7794526578496,1.0288,112.10472745847328
3297.8194628313763,1.0624,105.12590341635192
3297.869475548317,0.9547,130.1822962541203
3297.909485721896,0.9608,128.53452288488523
3297.949495895497,1.0437,108.92673432313784
3297.989506069121,1.0536,106.88932494557058
3298.0295162427665,0.6738,261.35052704492955
3298.069526416436,0.5853,346.3603344946515
3298.1095365901274,0.5841,347.78494889231854
3298.149546763842,0.4179,679.4224012077242
3298.1995594810182,1.3145,68.66965112305012
3298.239569654784,1.1958,82.97912636180568
3298.279579828572,0.919,140.4930092032812
3298.319590002383,0.8076,181.92525258155172
3298.3596001762166,0.4264,652.6047846692124
3298.3996103500735,0.2687,1643.4182944191168
3298.439620523953,0.3763,837.9458178300226
3298.4796306978556,0.708,236.7112726799151
3298.5196408717793,0.5956,334.48438350312085
3298.5696535892184,0.7573,206.8948221882375
3298.6096637631936,0.9048,144.93742418506645
3298.649673937192,0.9962,119.56188017257605
3298.689684111213,0.7771,196.48606128644857
3298.729694285257,0.6602,272.2289618584509
3298.769704459324,0.3051,1274.6748599939945
3298.809714633413,0.6122,316.5910354685144
3298.849724807526,0.8853,151.39264374463409
3298.899737525197,0.3058,1268.8458982518869
3298.93974769936,0.5092,457.6233614453014
3298.9797578735474,0.8887,150.23646106916104
3299.0197680477554,0.6011,328.3914049207031
3299.059778221986,0.8281,173.0294647932081
3299.0997883962405,0.4984,477.67099674454465
